alternative,det_total,soc_total,gov_total,mvpf_value,components,value,levels
1,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316,det_values_st,-111.223079,Detainee
1,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316,det_values_lt,-4588.370319558158,Detainee
1,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316,soc_values_st,95835.42032691505,Society
1,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316,soc_values_lt,-973000,Society
1,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316,govt_costs_lt,166.11472856665273,Government
1,-199067760.2002441,-5660052454850.948,559885700.8889892,-10109.655441501316,govt_costs_st,559885534.7742606,Government
2,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823,det_values_st,-288797.61041208,Detainee
2,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823,det_values_lt,-4588.370319558158,Detainee
2,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823,soc_values_st,95835.42032691505,Society
2,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823,soc_values_lt,-973000,Society
2,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823,govt_costs_lt,166.11472856665273,Government
2,-12427392139.140697,-5660052454850.948,559885700.8889892,-10131.496192853823,govt_costs_st,559885534.7742606,Government
3,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222,det_values_st,-111.223079,Detainee
3,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222,det_values_lt,-4588.370319558158,Detainee
3,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222,soc_values_st,95835.42032691505,Society
3,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222,soc_values_lt,-973000,Society
3,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222,govt_costs_lt,166.11472856665273,Government
3,-199067760.2002441,-5660052454850.948,606.5518310105174,-9331851349.259222,govt_costs_st,440.4371024438647,Government
4,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073,det_values_st,-111.223079,Detainee
4,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073,det_values_lt,-4588.370319558158,Detainee
4,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073,soc_values_st,95835.42032691505,Society
4,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073,soc_values_lt,-1848000,Society
4,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073,govt_costs_lt,166.11472856665273,Government
4,-199067760.2002441,-11306137594130.479,559885700.8889892,-20194.008605575073,govt_costs_st,559885534.7742606,Government
