booking_id,charge_description,statute,crime_type,crime_class
20180101012,DOMESTIC BATTERY - PHYSICAL C,720-5/12-3.2-A-2,M,A
20180101020,AGG UUW/PERS/LOADED/NO FCCA/2,720-5/24-1.6(A)(2),F,2
20180101020,AGG UUW/PERSON/NO FOID/2+,720-5/24-1.6(A)(2),F,2
20180101020,AGG UUW/VEH/LOADED/NO FCCA 2+,720-5/24-1.6(A)(1),F,2
20180101020,AGG UUW/VEHICLE/NO FOID/2+,720-5/24-1.6(A)(1),F,2
20180101020,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180101020,POSSESS 15<100 GRAMS COCAINE,720-570/402(A)(2)(A),F,1
20180101025,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6-A,F,4
20180101028,AGG VEH HIJACKING/HANDICAPPED,720-5/18-4(A)(1),F,X
20180101028,AGG VEHICLE HIJACKING/FIREARM,720-5/18-4(A)(4),F,X
20180101028,MFG/DEL 1<15 GR FENTANYL/,720-570/401(C),,L
20180101030,ARMED ROBBERY/NO FIREARM,720-5/18-2(a)(1),F,X
20180101030,MFG/DEL 1<15 GR HEROIN/ANALOG,720-570/401(C)(1),F,1
20180101030,MFG/DEL HEROIN/SCH/PUB HS/PK,720-570/407(B)(1),F,X
20180101030,MURDER - FIRST DEGREE,725-5/9-1-A-1,F,M
20180101030,MURDER/INTENT TO KILL/INJURE,720-5/9-1(a)(1),F,M
20180101030,MURDER/OTHER FORCIBLE FELONY,720-5/9-1(A)(3),F,M
20180101030,MURDER/STRONG PROB KILL/INJUR,720-5/9-1(A)(2),F,M
20180101030,MURDER/STRONG PROB KILL/INJURE,720-5/9-1(a)(2),F,M
20180101030,ROBBERY - ARMED - OTHER DANGE,720-5/18-2-A-1,F,X
20180101037,ESCAPE/VIOLATE ELEC MONITORIN,730-5/5-8A-4.1(A),F,3
20180101037,FAILURE TO REPORT ANNUALLY/2+,730-150/6,F,2
20180101037,PCS - POSSESSION - POSS A,720-570/402-C,F,4
20180101045,AGG UUW/PERS/UNLOADED/NO FCCA,720-5/24-1.6(A)(2),F,4
20180101045,AGG UUW/UNLOADED/NO FCCA,720 ILCS 5/24-1.6(a)(1),F,4
20180101045,AGG UUW/UNLOADED/NO FCCA,720-5/24-1.6(A)(1),F,4
20180101048,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180101048,AGG UUW/PERS/LOAD/NO FCCA,720-5/24-1.6(A)(2),F,4
20180101048,AGG UUW/PERS/LOAD/NO FCCA/FOID,720-5/24-1.6(a)(2),F,4
20180101048,AGG UUW/PERSON/<21,720-5/24-1.6(a)(2),F,4
20180101048,AGG UUW/PERSON/LOADED/NO,720-5/24-1.6(A)(2),F,4
20180101048,AGG UUW/PERSON/LOADED/NO FCCA,720-5/24-1.6(a)(2),F,4
20180101048,AGG UUW/PERSON/NO FOID,720-5/24-1.6(a)(2),F,4
20180101048,AGG UUW/VEHICLE/<21,720-5/24-1.6(A)(1),F,4
20180101048,AGG UUW/VEHICLE/LOADED/NO,720-5/24-1.6(A)(1),F,4
20180101048,AGG UUW/VEHICLE/LOADED/NO FCC,720-5/24-1.6(A)(1),F,4
20180101048,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180101048,CARRY/POSSESS FIREARM/1ST,720-5/24-1(A)(4),M,A
20180101061,AGG UUW/VEH/PREV CONVICTION,720-5/24-1.6(a)(1),F,2
20180101061,ARMED HABITUAL CRIMINAL,720-5/24-1.7(A),F,X
20180101061,ARMED HABITUAL CRIMINAL,720-5/24-1.7-A,F,X
20180101061,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180101061,FIREARM/FOID INVALID/NOT ELIG,430-65/2(a)(1),F,3
20180101061,MFG/DEL 1<15 GR COCAINE/ANLG,720-570/401(C)(2),F,1
20180101061,MFG/DEL 1<15 GR FENTANYL/ANLG,720-570/401(C)(1.5),F,1
20180101061,MFG/DEL 1<15 GR HEROIN/ANALOG,720-570/401(C)(1),F,1
20180101061,MFG/DEL 15<100 GR COCA/ANALOG,720-570/401(A)(2)(A),F,X
20180101061,MFG/DEL CANNABIS/10-30 GRAMS,720-550/5(c),F,4
20180101061,MFG/DEL15<100 GR CACA/ANALOG,720-570/401-A-2-A,F,X
20180101061,MFG/DEL15<100 GR HEROIN/ANLG,720-570/401-A-1-A,F,X
20180101061,OTHER NON-NARCOTIC SCHED I&II,720-570/401(e),F,3
20180101061,PCS - POSSESSION - POSS AMT C,720-570/402-C,F,4
20180101061,POSS CAN/>10-30 GRAMS/1ST,720-550/4-B,M,B
20180101061,TN-458515,9-24-010(B),T,B
20180101061,TN-458516,625-5/3-414,T,B
20180101064,AGG UNLAW USE OF WEAPON,720-5/24-1.6-A,F,3
20180101064,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180101064,AGG UUW/VEHICLE/LOADED/NO FCC,720-5/24-1.6(A)(1),F,4
20180101064,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180101064,RESISTING/OBSTRUCT/PC OFF/COR,720-5/31-1-A,M,A
20180101067,AGG ROBBERY/INDICATE ARM W/FI,720-5/18-1(B)(1),F,1
20180101067,AGG ROBBERY/INDICATE ARM W/FIR,720 ILCS 5/18-1(b)(1),F,1
20180101067,ROBBERY,720-5/18-1(A),F,2
20180101070,AGG UUW/VEHICLE/LOADED/NO,720-5/24-1.6-A,F,4
20180101072,AGG UUW/LOADED-NO FCCA-FO,720-5/24-1.6-A,F,4
20180101072,ASSAULT - SIMPLE,720-5/12-1-A,M,C
20180101077,AGG UUW/VEH/FIR LOADED/NO,720-5/24-1.6-A,F,4
20180101079,AGG UUW/PERS/LOADED/NO FC,720-5/24-1.6(A)(2),F,2
20180101079,AGG UUW/VEH/LOADED/NO FCC,720-5/24-1.6(A)(1),F,2
20180101079,AGG UUW/VEH/LOADED/NO FCCA 2+,720-5/24-1.6(A)(1),F,2
20180101079,AGG UUW/VEH/PREV CONVICTION,720-5/24-1.6(A)(1),F,2
20180101079,AGG UUW/VEHICLE/NO FOID/2,720-5/24-1.6(A)(1),F,2
20180101079,AGG UUW/VEHICLE/NO FOID/2+,720-5/24-1.6(A)(1),F,2
20180101079,DOMESTIC BATTERY - BODILY HAR,720-5/12-3.2-A-1,M,A
20180101079,FELON POSS/USE FIREARM PR,720-5/24-1.1(A),F,2
20180101079,FELON POSS/USE FIREARM PRIOR,720-5/24-1.1(A),F,2
20180101079,VOBB,725-5/110-S-A-E,F,2
20180101080,POSS AMT CON SUB EXCEPT(A)/(D),720 ILCS 570/402(c),F,4
20180101082,UUW - WEAPON - FELON POSS,720-5/24-1.1-A,F,2
20180101083,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180101083,AGG UUW/LOADED-NO FCCA-FO,720-5/24-1.6-A,F,4
20180101083,AGG UUW/PERS/LOAD/NO FCCA/FOI,720-5/24-1.6(A)(2),F,4
20180101083,AGG UUW/PERSON/LOADED/NO FCCA,720-5/24-1.6(A)(2),F,4
20180101083,AGG UUW/VEHICLE/<21,720-5/24-1.6(A)(1),F,4
20180101083,AGG UUW/VEHICLE/LOADED/NO FCC,720-5/24-1.6(A)(1),F,4
20180101083,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180101093,RETAIL THEFT/DISP MERCH/<,720-5/16-25-A-,M,A
20180101108,IVC - AGG FLEEING/2+ CON,625-5/11-204.1,F,4
20180101108,POSS AMMUNITION - W/O VALID F,430-65/2-A-2,M,A
20180101108,TN-450-496,9-24-010(B),T,4
20180101108,TN-450-497,9-24-010(B),T,4
20180101108,TN-450-498,9-24-010(B),T,4
20180101108,TN-450-499,625-5/11-601-A,T,4
20180101114,BATTERY - CAUSE BODILY HARM,720-5/12-3-A-1,M,A
20180101114,CTA - SMOKING ON (98-126-1.8),10-8-526,M,L
20180101114,VIOLATION BAIL BOND - CLASS A,720-5/32-10-A,M,B
20180101140,EXPLOIT CHILD<13/EXPOSE S,720-5/11-9.1(A)(2),F,4
20180101140,SEX EXPLOIT CHILD<13/SEX,720-5/11-9.1(A)(1),F,4
20180101145,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180101145,AGG UUW/PERS/LOAD/NO FCCA/FOI,720-5/24-1.6(A)(2),F,4
20180101145,AGG UUW/PERSON/LOADED/NO FCCA,720-5/24-1.6(A)(2),F,4
20180101145,AGG UUW/PERSON/NO FOID,720-5/24-1.6(A)(2),F,4
20180101145,AGG UUW/VEHICLE/LOADED/NO FCC,720-5/24-1.6(A)(1),F,4
20180101145,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180102010,DOMESTIC BATTERY/BODILY HARM,720 ILCS 5/12-3.2(a)(1),M,A
20180102030,AGG DUI/LIC SUSP OR REVOKED,625-5/11-501(A),F,4
20180102030,AGG DUI/NO VALID DL,625-5/11-501(A),F,4
20180102030,ESCAPE/VIOLATE ELEC MONITORIN,730-5/5-8A-4.1(A),F,3
20180102030,TN432097,625-5/3-707,T,4
