infraction_detail_id,infraction_details_count,booking_id,disciplinary_event_date_time,disciplinary_event_network_id,infraction_type
inf_20190226171_BV-2018-11597,1,20190226171,2018-09-07 11:42:00,BV-2018-11597,105 Disorderly Conduct
inf_20190226171_BV-2018-11597,2,20190226171,2018-09-07 11:42:00,BV-2018-11597,219 Disobeying or Resisting Orders
inf_20180404123_BV-2018-12142,1,20180404123,2018-09-19 11:17:00,BV-2018-12142,207 Fighting
inf_20180823047_BV-2018-12142,1,20180823047,2018-09-19 11:17:00,BV-2018-12142,207 Fighting
inf_20180115001_BV-2018-13618,1,20180115001,2018-10-25 12:15:00,BV-2018-13618,105 Disorderly Conduct
inf_20180115001_BV-2018-13618,2,20180115001,2018-10-25 12:15:00,BV-2018-13618,106 Failure to Maintain Sanitary or Orderly Conditions
inf_20180115001_BV-2018-13618,3,20180115001,2018-10-25 12:15:00,BV-2018-13618,114 Obstruction of Plumbing
inf_20180115001_BV-2018-13618,4,20180115001,2018-10-25 12:15:00,BV-2018-13618,208 Flooding
inf_20180115001_BV-2018-13618,5,20180115001,2018-10-25 12:15:00,BV-2018-13618,327 Damage to CCSO Property
inf_20161020105_BV-2018-2897,1,20161020105,2018-03-01 08:55:00,BV-2018-2897,207 Fighting
inf_20180120018_BV-2018-2897,1,20180120018,2018-03-01 08:55:00,BV-2018-2897,307 Battery
inf_20180130113_BV-2018-2897,1,20180130113,2018-03-01 08:55:00,BV-2018-2897,307 Battery
inf_20180115001_BV-2018-5331,1,20180115001,2018-04-23 16:00:00,BV-2018-5331,105 Disorderly Conduct
inf_20190226171_BV-2018-6048,1,20190226171,2018-05-08 10:30:00,BV-2018-6048,
inf_20170815058_BV-2018-8191,1,20170815058,2018-06-26 10:30:00,BV-2018-8191,
inf_20180216202_BV-2018-8198,1,20180216202,2018-06-26 12:30:00,BV-2018-8198,102 Disrupting a Judicial Proceeding
inf_20180216202_BV-2018-8198,2,20180216202,2018-06-26 12:30:00,BV-2018-8198,105 Disorderly Conduct
inf_20180422036_BV-2018-9077,1,20180422036,2018-07-16 12:15:00,BV-2018-9077,208 Flooding
inf_20170622001_BV-2018-9131,1,20170622001,2018-07-17 11:50:00,BV-2018-9131,105 Disorderly Conduct
inf_20170622001_BV-2018-9131,2,20170622001,2018-07-17 11:50:00,BV-2018-9131,106 Failure to Maintain Sanitary or Orderly Conditions
inf_20170622001_BV-2018-9131,3,20170622001,2018-07-17 11:50:00,BV-2018-9131,208 Flooding
inf_20180115001_BV-2018-9131,1,20180115001,2018-07-17 11:50:00,BV-2018-9131,105 Disorderly Conduct
inf_20180115001_BV-2018-9131,2,20180115001,2018-07-17 11:50:00,BV-2018-9131,106 Failure to Maintain Sanitary or Orderly Conditions
inf_20180115001_BV-2018-9131,3,20180115001,2018-07-17 11:50:00,BV-2018-9131,208 Flooding
inf_20180117079_BV-2018-9131,1,20180117079,2018-07-17 11:50:00,BV-2018-9131,105 Disorderly Conduct
inf_20180117079_BV-2018-9131,2,20180117079,2018-07-17 11:50:00,BV-2018-9131,106 Failure to Maintain Sanitary or Orderly Conditions
inf_20180117079_BV-2018-9131,3,20180117079,2018-07-17 11:50:00,BV-2018-9131,208 Flooding
inf_20180429031_CCB-2018-10048,1,20180429031,2018-08-06 12:30:00,CCB-2018-10048,313 Masturbation
inf_20180529115_CCB-2018-10550,1,20180529115,2018-08-16 10:20:00,CCB-2018-10550,403 Assault on Staff with Bodily Fluids
inf_20180101030_CCB-2018-11490,1,20180101030,2018-09-05 11:30:00,CCB-2018-11490,105 Disorderly Conduct
inf_20180101030_CCB-2018-11490,2,20180101030,2018-09-05 11:30:00,CCB-2018-11490,115 Possession of Level 1 Contraband
inf_20180101030_CCB-2018-11490,3,20180101030,2018-09-05 11:30:00,CCB-2018-11490,119 Writing or Distributing Kites
inf_20180330219_CCB-2018-13516,1,20180330219,2018-10-23 10:25:00,CCB-2018-13516,313 Masturbation
inf_20161124094_CCB-2018-1437,1,20161124094,2018-01-29 09:15:00,CCB-2018-1437,105 Disorderly Conduct
inf_20161124094_CCB-2018-1437,2,20161124094,2018-01-29 09:15:00,CCB-2018-1437,207 Fighting
inf_20161124094_CCB-2018-1437,3,20161124094,2018-01-29 09:15:00,CCB-2018-1437,219 Disobeying or Resisting Orders
inf_20180107144_CCB-2018-1437,1,20180107144,2018-01-29 09:15:00,CCB-2018-1437,105 Disorderly Conduct
inf_20180107144_CCB-2018-1437,2,20180107144,2018-01-29 09:15:00,CCB-2018-1437,207 Fighting
inf_20180107144_CCB-2018-1437,3,20180107144,2018-01-29 09:15:00,CCB-2018-1437,219 Disobeying or Resisting Orders
inf_20190105183_CCB-2018-1437,1,20190105183,2018-01-29 09:15:00,CCB-2018-1437,105 Disorderly Conduct
inf_20190105183_CCB-2018-1437,2,20190105183,2018-01-29 09:15:00,CCB-2018-1437,207 Fighting
inf_20190105183_CCB-2018-1437,3,20190105183,2018-01-29 09:15:00,CCB-2018-1437,219 Disobeying or Resisting Orders
inf_20140926012_CCB-2018-14484,1,20140926012,2018-11-14 10:30:00,CCB-2018-14484,105 Disorderly Conduct
inf_20140926012_CCB-2018-14484,2,20140926012,2018-11-14 10:30:00,CCB-2018-14484,119 Writing or Distributing Kites
inf_20180418071_CCB-2018-14484,1,20180418071,2018-11-14 10:30:00,CCB-2018-14484,105 Disorderly Conduct
inf_20180418071_CCB-2018-14484,2,20180418071,2018-11-14 10:30:00,CCB-2018-14484,119 Writing or Distributing Kites
inf_20180418071_CCB-2018-14484,3,20180418071,2018-11-14 10:30:00,CCB-2018-14484,219 Disobeying or Resisting Orders
inf_20170831143_CCB-2018-15648,1,20170831143,2018-12-13 08:30:00,CCB-2018-15648,207 Fighting
inf_20180107012_CCB-2018-15648,1,20180107012,2018-12-13 08:30:00,CCB-2018-15648,207 Fighting
inf_20180518022_CCB-2018-15648,1,20180518022,2018-12-13 08:30:00,CCB-2018-15648,207 Fighting
inf_20180213188_CCB-2018-2123,1,20180213188,2018-02-13 14:00:00,CCB-2018-2123,105 Disorderly Conduct
inf_20180213188_CCB-2018-2123,2,20180213188,2018-02-13 14:00:00,CCB-2018-2123,212 Movement Violation
inf_20180213188_CCB-2018-2123,3,20180213188,2018-02-13 14:00:00,CCB-2018-2123,219 Disobeying or Resisting Orders
inf_20180201038_CCB-2018-4131,1,20180201038,2018-03-27 10:56:00,CCB-2018-4131,320 Verbal Threat to Staff
inf_20180201038_CCB-2018-4131,2,20180201038,2018-03-27 10:56:00,CCB-2018-4131,322 Disrespect to Staff
inf_20180407052_CCB-2018-5013,1,20180407052,2018-04-16 12:30:00,CCB-2018-5013,
inf_20180415002_CCB-2018-5013,1,20180415002,2018-04-16 12:30:00,CCB-2018-5013,
inf_20180314047_CCB-2018-5213,1,20180314047,2018-04-20 11:50:00,CCB-2018-5213,102 Disrupting a Judicial Proceeding
inf_20180314047_CCB-2018-5213,2,20180314047,2018-04-20 11:50:00,CCB-2018-5213,105 Disorderly Conduct
inf_20180314047_CCB-2018-5213,3,20180314047,2018-04-20 11:50:00,CCB-2018-5213,219 Disobeying or Resisting Orders
inf_20180314047_CCB-2018-5213,4,20180314047,2018-04-20 11:50:00,CCB-2018-5213,406 Escape and Attempted Escape
inf_20180314047_CCB-2018-5213,5,20180314047,2018-04-20 11:50:00,CCB-2018-5213,413 Attempted Battery to Staff
inf_20180207010_CCB-2018-8314,1,20180207010,2018-06-28 13:35:00,CCB-2018-8314,105 Disorderly Conduct
inf_20180207010_CCB-2018-8314,2,20180207010,2018-06-28 13:35:00,CCB-2018-8314,207 Fighting
inf_20180207010_CCB-2018-8314,3,20180207010,2018-06-28 13:35:00,CCB-2018-8314,219 Disobeying or Resisting Orders
inf_20180207010_CCB-2018-8314,4,20180207010,2018-06-28 13:35:00,CCB-2018-8314,307 Battery
inf_20180207010_CCB-2018-8314,5,20180207010,2018-06-28 13:35:00,CCB-2018-8314,322 Disrespect to Staff
inf_20180207010_CCB-2018-8314,6,20180207010,2018-06-28 13:35:00,CCB-2018-8314,402 Aggravated Battery
inf_20180207010_CCB-2018-8314,7,20180207010,2018-06-28 13:35:00,CCB-2018-8314,404 Battery to Staff
inf_20180529115_CCB-2018-9129,1,20180529115,2018-07-17 09:30:00,CCB-2018-9129,207 Fighting
inf_20180529115_CCB-2018-9129,2,20180529115,2018-07-17 09:30:00,CCB-2018-9129,307 Battery
inf_20140804277_CCB-2018-9190,1,20140804277,2018-07-18 11:10:00,CCB-2018-9190,105 Disorderly Conduct
inf_20171210128_CCB-2018-9190,1,20171210128,2018-07-18 11:10:00,CCB-2018-9190,105 Disorderly Conduct
inf_20171210130_CCB-2018-9190,1,20171210130,2018-07-18 11:10:00,CCB-2018-9190,105 Disorderly Conduct
inf_20180413219_CCB-2018-9190,1,20180413219,2018-07-18 11:10:00,CCB-2018-9190,105 Disorderly Conduct
inf_20180413219_CCB-2018-9190,2,20180413219,2018-07-18 11:10:00,CCB-2018-9190,318 Tampering with Security Equipment
inf_20171106238_CCB-2018-9456,1,20171106238,2018-07-24 11:25:00,CCB-2018-9456,105 Disorderly Conduct
inf_20171106238_CCB-2018-9456,2,20171106238,2018-07-24 11:25:00,CCB-2018-9456,119 Writing or Distributing Kites
inf_20180101030_CCB-2018-9456,1,20180101030,2018-07-24 11:25:00,CCB-2018-9456,105 Disorderly Conduct
inf_20180101030_CCB-2018-9456,2,20180101030,2018-07-24 11:25:00,CCB-2018-9456,119 Writing or Distributing Kites
inf_20180511154_CCB-2019-1407,1,20180511154,2019-02-01 14:05:00,CCB-2019-1407,404 Battery to Staff
inf_20180511154_CCB-2019-1407,2,20180511154,2019-02-01 14:05:00,CCB-2019-1407,413 Attempted Battery to Staff
inf_20180113170_CCMT-2018-11104,1,20180113170,2018-08-28 08:00:00,CCMT-2018-11104,212 Movement Violation
inf_20180113170_CCMT-2018-11104,2,20180113170,2018-08-28 08:00:00,CCMT-2018-11104,219 Disobeying or Resisting Orders
inf_20180414027_CCMT-2018-12024,1,20180414027,2018-09-17 09:48:00,CCMT-2018-12024,313 Masturbation
