alternative,mvpf_value,components,value,levels
1,81.219,det_values_st,-111.22,Detainee
1,81.219,det_values_lt,"-4,588.37",Detainee
1,81.219,soc_values_st,"95,835.42",Society
1,81.219,soc_values_lt,973000,Society
1,81.219,govt_costs_lt,166.11,Government
1,81.219,govt_costs_st,559885535,Government
2,22402.29840351540,det_values_st,-99.44,Detainee
2,22402.29840351540,det_values_lt,"-4,588.37",Detainee
2,22402.29840351540,soc_values_st,"95,835.42",Society
2,22402.29840351540,soc_values_lt,"1,848,000.00",Society
2,22402.29840351540,govt_costs_lt,166.11,Government
2,22402.29840351540,govt_costs_st,"448,677,628.00",Government
3,12317.945089565400,det_values_st,-111.22,Detainee
3,12317.945089565400,det_values_lt,"-4,588.37",Detainee
3,12317.945089565400,soc_values_st,"95,835.42",Society
3,12317.945089565400,soc_values_lt,"973,000.00",Society
3,12317.945089565400,govt_costs_lt,166.11,Government
3,12317.945089565400,govt_costs_st,"448,677,628.00",Government
4,22402.297512059100,det_values_st,-111.22,Detainee
4,22402.297512059100,det_values_lt,"-4,588.37",Detainee
4,22402.297512059100,soc_values_st,"95,835.42",Society
4,22402.297512059100,soc_values_lt,"1,848,000.00",Society
4,22402.297512059100,govt_costs_lt,166.11,Government
4,22402.297512059100,govt_costs_st,"448,677,628.00",Government
