year,h1_avg,h2_avg,cpi_annual,infl_mult,chain,factor_to_2025
2011,0,0.00,3.2,1.032,1.032,1.392898740851106
2012,2.35,1.02,2.1,1.021,1.053672,1.3642495013233165
2013,1.54,1.00,1.5,1.015,1.0694770799999995,1.3440881786436618
2014,1.73,1.02,1.6,1.016,1.0865887132799998,1.322921435672895
2015,-0.05,2.00,0.1,1.001,1.0876753019932797,1.3215998358370584
2016,1.06,1.01,1.3,1.013,1.1018150809191922,1.3046395220504032
2017,2.22,3.00,2.1,1.021,1.1249531976184952,1.2778056043588673
2018,2.46,1.02,2.4,1.024,1.1519520743613392,1.247857035506706
2019,1.73,4.00,1.8,1.018,1.1726872116998432,1.22579276572368
2020,1.24,1.01,1.2,1.012,1.1867594582402414,1.2112576736399998
2021,3.37,5.00,4.7,1.047,1.2425371527775326,1.15688412
2022,8.31,1.08,8.0,1.08,1.3419401249997354,1.071189
2023,4.88,6.00,4.1,1.041,1.3969596701247244,1.029
2024,3.22,1.03,2.9,1.029,1.4374715005583414,1
2025,2.59,-,–,1,1.4374715005583414,1
