event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20180613224_2018-06-14 02:00:00,20180613224,2018-06-14 02:00:00,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING
bm_20140813208_2018-11-24 11:30:00,20140813208,2018-11-24 11:30:00,DIV9-2A-2132-1,Division 9,DIV9-2A,DIV9-2A-2132
bm_20160324216_2019-02-28 03:00:00,20160324216,2019-02-28 03:00:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20120831235_2019-02-28 12:00:00,20120831235,2019-02-28 12:00:00,DIV9-3A-3326-1,Division 9,DIV9-3A,DIV9-3A-3326
bm_20180325159_2019-02-28 11:00:00,20180325159,2019-02-28 11:00:00,DIV2-D2-S-44,Division 2,DIV2-D2,DIV2-D2-S
bm_20180611131_2019-02-20 03:30:00,20180611131,2019-02-20 03:30:00,DIV2-D2-P-11,Division 2,DIV2-D2,DIV2-D2-P
bm_20180903185_2019-01-05 14:30:00,20180903185,2019-01-05 14:30:00,DIV2-D2-U-29,Division 2,DIV2-D2,DIV2-D2-U
bm_20140822017_2019-01-14 11:11:00,20140822017,2019-01-14 11:11:00,DIV10-4B-4204-1,Division 10,DIV10-4B,DIV10-4B-4204
bm_20181009229_2018-11-23 08:00:00,20181009229,2018-11-23 08:00:00,DIV9-1A-1328-1,Division 9,DIV9-1A,DIV9-1A-1328
bm_20180725233_2019-02-27 13:50:00,20180725233,2019-02-27 13:50:00,DIV9-1B-1303-2,Division 9,DIV9-1B,DIV9-1B-1303
bm_20120831235_2019-02-01 08:30:00,20120831235,2019-02-01 08:30:00,DIV08-3F-D4-23,Division 8 RTU,DIV08-3F,DIV08-3F-D4
bm_20171106132_2019-02-27 13:45:00,20171106132,2019-02-27 13:45:00,DIV9-1H-1266-2,Division 9,DIV9-1H,DIV9-1H-1266
bm_20180926143_2019-02-23 12:00:00,20180926143,2019-02-23 12:00:00,DIV9-1H-1065-1,Division 9,DIV9-1H,DIV9-1H-1065
bm_20180720134_2019-02-22 04:00:00,20180720134,2019-02-22 04:00:00,DIV9-1H-1060-2,Division 9,DIV9-1H,DIV9-1H-1060
bm_20180325159_2019-01-26 18:00:00,20180325159,2019-01-26 18:00:00,DIV2-D3-CC-32,Division 2,DIV2-D3,DIV2-D3-CC
bm_20180120084_2019-02-27 13:44:00,20180120084,2019-02-27 13:44:00,Div11-CF-306-1,Division 11,DIV11-CF,DIV11-CF-306
bm_20180620016_2019-02-27 13:30:00,20180620016,2019-02-27 13:30:00,DIV6-1D-10-2,Division 6,DIV6-1D,DIV6-1D-10
bm_20180704138_2019-01-18 13:30:00,20180704138,2019-01-18 13:30:00,DIV5-2E-13-1,Division 5,DIV5-2E,DIV5-2E-13
bm_20181023088_2019-02-07 08:00:00,20181023088,2019-02-07 08:00:00,DIV6-1C-11-2,Division 6,DIV6-1C,DIV6-1C-11
bm_20180226185_2019-02-28 01:00:00,20180226185,2019-02-28 01:00:00,DIV08-2F-D2-30,Division 8 RTU,DIV08-2F,DIV08-2F-D2
bm_20180820190_2019-02-04 16:48:00,20180820190,2019-02-04 16:48:00,DIV8-2S-2117-4,Division 8,DIV8-2S,DIV8-2S-2117
bm_20181101070_2018-11-02 11:51:00,20181101070,2018-11-02 11:51:00,DIV08-3G-D5-7_C,Division 8 RTU,DIV08-3G,DIV08-3G-D5
bm_20180708021_2019-02-20 11:00:00,20180708021,2019-02-20 11:00:00,DIV9-1A-1135-2,Division 9,DIV9-1A,DIV9-1A-1135
bm_20180114164_2018-11-29 12:00:00,20180114164,2018-11-29 12:00:00,DIV9-1A-1135-1,Division 9,DIV9-1A,DIV9-1A-1135
bm_20180319130_2019-01-09 13:30:00,20180319130,2019-01-09 13:30:00,DIV6-2K-8-2,Division 6,DIV6-2K,DIV6-2K-8
bm_20150807245_2019-02-27 21:00:00,20150807245,2019-02-27 21:00:00,DIV9-1A-1327-1,Division 9,DIV9-1A,DIV9-1A-1327
bm_20160810197_2019-02-20 15:00:00,20160810197,2019-02-20 15:00:00,DIV10-3A-3101-1,Division 10,DIV10-3A,DIV10-3A-3101
bm_20180117128_2019-02-27 01:30:00,20180117128,2019-02-27 01:30:00,Div11-DJ-408-1,Division 11,DIV11-DJ,DIV11-DJ-408
bm_20180730080_2019-02-27 04:00:00,20180730080,2019-02-27 04:00:00,DIV08-4H-D6-4,Division 8 RTU,DIV08-4H,DIV08-4H-D6
bm_20180125134_2019-02-25 23:30:00,20180125134,2019-02-25 23:30:00,Div11-DB-108-2,Division 11,DIV11-DB,DIV11-DB-108
bm_20180605187_2019-02-25 23:00:00,20180605187,2019-02-25 23:00:00,Div11-BJ-402-1,Division 11,DIV11-BJ,DIV11-BJ-402
bm_20180919219_2018-09-27 12:00:00,20180919219,2018-09-27 12:00:00,Div11-BH-304-1,Division 11,DIV11-BH,DIV11-BH-304
bm_20170119148_2019-01-28 02:00:00,20170119148,2019-01-28 02:00:00,DIV08-3E-8-1,Division 8 RTU,DIV08-3E,DIV08-3E-8
bm_20180315117_2019-01-26 20:30:00,20180315117,2019-01-26 20:30:00,DIV6-2R-15-2,Division 6,DIV6-2R,DIV6-2R-15
bm_20180806055_2019-02-21 21:00:00,20180806055,2019-02-21 21:00:00,DIV6-2H-1-1,Division 6,DIV6-2H,DIV6-2H-1
bm_20180420013_2018-12-18 12:30:00,20180420013,2018-12-18 12:30:00,DIV6-1R-5-1,Division 6,DIV6-1R,DIV6-1R-5
bm_20180512063_2019-02-15 16:00:00,20180512063,2019-02-15 16:00:00,DIV6-1A-16-2,Division 6,DIV6-1A,DIV6-1A-16
bm_20181108224_2019-02-15 10:00:00,20181108224,2019-02-15 10:00:00,DIV2-D3-DD-14,Division 2,DIV2-D3,DIV2-D3-DD
bm_20180326046_2019-02-27 00:30:00,20180326046,2019-02-27 00:30:00,DIV2-D2-N-30,Division 2,DIV2-D2,DIV2-D2-N
bm_20180418142_2018-12-31 12:30:00,20180418142,2018-12-31 12:30:00,DIV2-D2-W-17,Division 2,DIV2-D2,DIV2-D2-W
bm_20180623070_2018-07-24 08:30:00,20180623070,2018-07-24 08:30:00,DIV2-D2-S-44,Division 2,DIV2-D2,DIV2-D2-S
bm_20180607031_2019-02-25 11:00:00,20180607031,2019-02-25 11:00:00,DIV6-1L-7-2,Division 6,DIV6-1L,DIV6-1L-7
bm_20180807014_2018-12-22 12:00:00,20180807014,2018-12-22 12:00:00,Div11-AA-107-2,Division 11,DIV11-AA,DIV11-AA-107
bm_20170115110_2018-11-02 12:00:00,20170115110,2018-11-02 12:00:00,DIV6-2P-20-1,Division 6,DIV6-2P,DIV6-2P-20
bm_20180323020_2019-01-10 11:30:00,20180323020,2019-01-10 11:30:00,DIV2-D2-R-10,Division 2,DIV2-D2,DIV2-D2-R
bm_20180529001_2018-10-12 12:52:00,20180529001,2018-10-12 12:52:00,DIV8-3N-3243-4_X,Division 8,DIV8-3N,DIV8-3N-3243
bm_20180928050_2019-02-26 12:00:00,20180928050,2019-02-26 12:00:00,DIV9-3A-3326-2,Division 9,DIV9-3A,DIV9-3A-3326
bm_20180219023_2019-02-05 13:30:00,20180219023,2019-02-05 13:30:00,DIV9-2H-2259-1,Division 9,DIV9-2H,DIV9-2H-2259
bm_20160620109_2019-02-22 12:00:00,20160620109,2019-02-22 12:00:00,DIV10-4C-4312-1,Division 10,DIV10-4C,DIV10-4C-4312
bm_20160324216_2018-12-12 20:00:00,20160324216,2018-12-12 20:00:00,DIV9-1C-1362-1,Division 9,DIV9-1C,DIV9-1C-1362
bm_20171111164_2018-07-06 18:00:00,20171111164,2018-07-06 18:00:00,DIV10-1A-1104-1,Division 10,DIV10-1A,DIV10-1A-1104
bm_20180528048_2019-02-26 21:30:00,20180528048,2019-02-26 21:30:00,DIV10-3C-3317-2,Division 10,DIV10-3C,DIV10-3C-3317
bm_20180226185_2019-02-25 03:00:00,20180226185,2019-02-25 03:00:00,DIV8-2N-2261-1,Division 8,DIV8-2N,DIV8-2N-2261
bm_20180314179_2019-02-24 13:30:00,20180314179,2019-02-24 13:30:00,DIV8-2N-2261-4,Division 8,DIV8-2N,DIV8-2N-2261
bm_20171014189_2019-01-20 13:00:00,20171014189,2019-01-20 13:00:00,DIV5-2E-13-2,Division 5,DIV5-2E,DIV5-2E-13
bm_20180202027_2019-02-27 04:30:00,20180202027,2019-02-27 04:30:00,DIV 15-EMAW-EM AWOLS-GENERAL,Division 15,DIV15-EMAW,DIV15-EMAW-EM AWOLS
bm_20180228134_2019-02-13 12:00:00,20180228134,2019-02-13 12:00:00,Div11-DB-202-1,Division 11,DIV11-DB,DIV11-DB-202
bm_20180602104_2019-01-22 12:30:00,20180602104,2019-01-22 12:30:00,DIV5-2E-17-1,Division 5,DIV5-2E,DIV5-2E-17
bm_20180509014_2019-02-26 10:47:00,20180509014,2019-02-26 10:47:00,DIV10-3D-3415-1,Division 10,DIV10-3D,DIV10-3D-3415
bm_20180412144_2018-08-17 08:00:00,20180412144,2018-08-17 08:00:00,DIV15-FEM-FEMALE ELECTRONIC MONITORING-GENERAL,Division 15,DIV15-FEM,DIV15-FEM-FEMALE ELECTRONIC MONITORING
bm_20161115104_2019-02-26 16:00:00,20161115104,2019-02-26 16:00:00,DIV9-1G-1090-1,Division 9,DIV9-1G,DIV9-1G-1090
bm_20150807245_2019-02-25 19:00:00,20150807245,2019-02-25 19:00:00,DIV8-3N-3231-1,Division 8,DIV8-3N,DIV8-3N-3231
bm_20171223044_2019-02-22 11:30:00,20171223044,2019-02-22 11:30:00,DIV08-4G-D5-7,Division 8 RTU,DIV08-4G,DIV08-4G-D5
bm_20180325162_2019-02-21 09:30:00,20180325162,2019-02-21 09:30:00,DIV6-1D-18-1,Division 6,DIV6-1D,DIV6-1D-18
bm_20170901097_2019-02-26 16:00:00,20170901097,2019-02-26 16:00:00,DIV9-1G-1084-2,Division 9,DIV9-1G,DIV9-1G-1084
