booking_id,booking_id_type,incident_number,incident_date_time,incident_facility_location,incident_location,incident_type,incident_category
20180507151,Sample Set BookingID,BV-2018-11597,2018-09-07 11:42:00,BRIDGEVIEW,COURTHOUSE,Use of Force,
20180404123,Sample Set BookingID,BV-2018-12142,2018-09-19 11:17:00,BRIDGEVIEW,COURTHOUSE,Disciplinary,
20180823047,Non Sample Set BookingID,BV-2018-12142,2018-09-19 11:17:00,BRIDGEVIEW,COURTHOUSE,Disciplinary,
20180115001,Sample Set BookingID,BV-2018-13618,2018-10-25 12:15:00,BRIDGEVIEW,COURTHOUSE,Disciplinary,
20170516013,Non Sample Set BookingID,BV-2018-2897,2018-03-01 08:55:00,BRIDGEVIEW,COURTHOUSE,Inmate Fight,
20180120018,Sample Set BookingID,BV-2018-2897,2018-03-01 08:55:00,BRIDGEVIEW,COURTHOUSE,Inmate Fight,
20180130113,Sample Set BookingID,BV-2018-2897,2018-03-01 08:55:00,BRIDGEVIEW,COURTHOUSE,Inmate Fight,
20180115001,Sample Set BookingID,BV-2018-5331,2018-04-23 16:00:00,BRIDGEVIEW,COURTHOUSE,Informational,Disciplinary
20180507151,Sample Set BookingID,BV-2018-6048,2018-05-08 10:30:00,BRIDGEVIEW,COURTHOUSE,Disciplinary,
20170815058,Non Sample Set BookingID,BV-2018-8191,2018-06-26 10:30:00,BRIDGEVIEW,COURTHOUSE,Inmate Fight,
20180623084,Sample Set BookingID,BV-2018-8191,2018-06-26 10:30:00,BRIDGEVIEW,COURTHOUSE,Inmate Fight,
20180216202,Sample Set BookingID,BV-2018-8198,2018-06-26 12:30:00,BRIDGEVIEW,COURTHOUSE,Deescalation/Use of Force,
20180422036,Sample Set BookingID,BV-2018-9077,2018-07-16 12:15:00,BRIDGEVIEW,COURTHOUSE,Disciplinary,Flood
20170622001,Non Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,Flood,
20180115001,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,Flood,
20180117079,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,Flood,
20180429031,Sample Set BookingID,CCB-2018-10048,2018-08-06 12:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Masturbation
20180529115,Sample Set BookingID,CCB-2018-10550,2018-08-16 10:20:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Battery To Staff Without Injuries,Battery to Staff
20180101030,Sample Set BookingID,CCB-2018-11490,2018-09-05 11:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Contraband Recovery,Contraband Confiscated (From Detainee)
