booking_id,facility,section,cell,bed_assignment,bed_start_date,bed_end_date
20180101012,Division 11,DIV11-BD,DIV11-BD-110,Div11-BD-110-1,2018-01-01 23:30:00,2018-01-02 10:20:00
20180101012,Division 11,DIV11-BJ,DIV11-BJ-405,Div11-BJ-405-2,2018-01-02 10:20:00,2018-03-09 18:00:00
20180101020,Division 11,DIV11-BD,DIV11-BD-203,Div11-BD-203-2,2018-01-01 23:30:00,2018-04-20 04:00:00
20180101025,Division 11,DIV11-BD,DIV11-BD-210,Div11-BD-210-1,2018-01-01 23:30:00,2018-01-02 10:00:00
20180101025,Division 11,DIV11-AD,DIV11-AD-207,Div11-AD-207-1,2018-01-02 10:00:00,2018-04-09 05:00:00
20180101028,Division 11,DIV11-BB,DIV11-BB-101,Div11-BB-101-1,2018-01-01 23:30:00,2018-01-02 10:20:00
20180101028,Division 11,DIV11-DH,DIV11-DH-302,Div11-DH-302-2,2018-01-02 10:20:00,2018-01-27 00:00:00
20180101028,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-27 20:00:00,
20180101030,Division 8,DIV8-2N,DIV8-2N-2235,DIV8-2N-2235-2,2018-01-02 02:00:00,2018-01-03 18:30:00
20180101030,Division 8 RTU,DIV08-2F,DIV08-2F-D2,DIV08-2F-D2-17,2018-01-03 21:00:00,2018-01-07 09:00:00
20180101030,Division 10,DIV10-2C,DIV10-2C-2304,DIV10-2C-2304-1,2018-01-07 10:30:00,2018-03-04 09:00:00
20180101030,Division 9,DIV9-2F,DIV9-2F-2032,DIV9-2F-2032-1,2018-03-04 10:00:00,2018-03-04 11:30:00
20180101030,Division 9,DIV9-2F,DIV9-2F-2225,DIV9-2F-2225-2,2018-03-04 11:00:00,2018-03-31 06:00:00
20180101030,Division 15,DIV15-JF,DIV15-JF-JEFFERSON CO,DIV 15-JF-JEFFERSON CO-GENERAL,2018-03-31 06:00:00,2018-04-29 01:00:00
20180101030,Division 9,DIV9-2F,DIV9-2F-2034,DIV9-2F-2034-1,2018-04-29 02:00:00,2018-08-04 06:07:00
20180101030,Division 15,DIV15-LV,DIV15-LV-LIVINGSTON CO,DIV 15-LV-LIVINGSTON CO-GENERAL,2018-08-04 08:00:00,2018-08-25 19:00:00
20180101030,Division 9,DIV9-2F,DIV9-2F-2233,DIV9-2F-2233-1,2018-08-25 19:00:00,2018-10-17 16:00:00
20180101030,Division 9,DIV9-2F,DIV9-2F-2030,DIV9-2F-2030-2,2018-10-17 16:00:00,
20180101037,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-02 00:00:00,2018-08-10 04:00:00
20180101037,Division 15,DIV15-EMAW,DIV15-EMAW-EM AWOLS,DIV 15-EMAW-EM AWOLS-GENERAL,2018-08-10 04:30:00,2018-09-30 17:00:00
20180101037,Division 8 RTU,DIV08-2F,DIV08-2F-D2,DIV08-2F-D2-1,2018-09-30 23:00:00,2018-10-06 20:00:00
20180101037,Division 11,DIV11-BJ,DIV11-BJ-411,Div11-BJ-411-1,2018-10-06 21:30:00,2018-11-06 19:00:00
20180101037,Division 11,DIV11-BJ,DIV11-BJ-411,Div11-BJ-411-2,2018-11-06 19:00:00,2018-11-26 03:00:00
20180101045,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-02 00:00:00,2018-03-19 17:30:00
20180101048,Division 11,DIV11-BD,DIV11-BD-212,Div11-BD-212-1,2018-01-01 23:30:00,2018-01-29 11:00:00
20180101048,Division 6,DIV6-1P,DIV6-1P-14,DIV6-1P-14-1,2018-01-29 11:30:00,2018-01-31 19:00:00
20180101048,Division 6,DIV6-1A,DIV6-1A-18,DIV6-1A-18-1,2018-01-31 19:00:00,2018-02-07 16:30:00
20180101048,Division 6,DIV6-1L,DIV6-1L-6,DIV6-1L-6-2,2018-02-07 16:30:00,2018-02-17 09:30:00
20180101048,Division 6,DIV6-2H,DIV6-2H-2,DIV6-2H-2-1,2018-02-17 09:30:00,2018-03-05 10:00:00
20180101048,Division 11,DIV11-AA,DIV11-AA-107,Div11-AA-107-2,2018-03-05 12:00:00,2018-03-17 19:00:00
20180101048,Division 11,DIV11-DB,DIV11-DB-212,Div11-DB-212-2,2018-03-17 19:00:00,2018-03-25 09:00:00
20180101048,Division 11,DIV11-DG,DIV11-DG-312,Div11-DG-312-1,2018-03-25 09:00:00,2018-06-21 04:30:00
20180101061,Division 11,DIV11-BD,DIV11-BD-103,Div11-BD-103-2,2018-01-01 23:30:00,2018-01-02 10:00:00
20180101061,Division 11,DIV11-BJ,DIV11-BJ-405,Div11-BJ-405-1,2018-01-02 10:00:00,2018-01-25 16:00:00
20180101061,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-25 00:00:00,2018-04-14 11:00:00
20180101061,Division 6,DIV6-2Q,DIV6-2Q-1,DIV6-2Q-1-2,2018-04-14 13:19:00,2018-04-19 19:30:00
20180101061,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-04-19 23:30:00,
20180101064,Division 2,DIV2-D4,DIV2-D4-RU,DIV2-D4-RU-16,2018-01-02 01:00:00,2018-01-03 18:00:00
20180101064,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-03 23:00:00,2018-06-28 17:30:00
20180101064,Division 11,DIV11-BB,DIV11-BB-208,Div11-BB-208-2,2018-06-28 23:30:00,2018-06-29 09:00:00
20180101064,Division 11,DIV11-AB,DIV11-AB-206,Div11-AB-206-1,2018-06-29 09:00:00,2018-07-02 05:00:00
20180101067,Division 6,DIV6-2P,DIV6-2P-1,DIV6-2P-1-2,2018-01-01 23:30:00,2018-02-15 00:00:00
20180101067,Division 9,DIV9-1H,DIV9-1H-1063,DIV9-1H-1063-1,2018-02-15 00:00:00,2018-03-04 11:00:00
20180101067,Division 4,DIV4-J2,DIV4-J2-224,DIV4-J2-224-2,2018-03-04 11:00:00,2018-05-04 08:00:00
20180101067,Division 10,DIV10-2D,DIV10-2D-2418,DIV10-2D-2418-2,2018-05-04 09:00:00,2018-05-10 18:00:00
20180101067,Division 10,DIV10-2D,DIV10-2D-2406,DIV10-2D-2406-1,2018-05-10 18:00:00,2018-06-07 04:00:00
20180101070,Division 2,DIV2-D4,DIV2-D4-RU,DIV2-D4-RU-6,2018-01-02 01:00:00,2018-01-08 18:55:00
20180101070,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-09 00:00:00,2018-04-30 14:17:37
20180101072,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-02 00:00:00,2018-06-01 23:30:00
20180101072,Division 2,DIV2-D4,DIV2-D4-RL,DIV2-D4-RL-33,2018-06-01 23:30:00,2018-06-04 10:00:00
20180101072,Division 11,DIV11-AG,DIV11-AG-305,Div11-AG-305-2,2018-06-04 10:30:00,2018-07-25 18:30:00
20180101077,Division 15,DIV15-EM,DIV15-EM-ELECTRONIC MONITORING,DIV 15-EM-ELECTRONIC MONITORING-GENERAL,2018-01-02 00:00:00,2018-03-20 15:31:23
20180101079,Division 11,DIV11-BB,DIV11-BB-107,Div11-BB-107-2,2018-01-01 23:30:00,2018-01-02 10:20:00
20180101079,Division 11,DIV11-DF,DIV11-DF-408,Div11-DF-408-1,2018-01-02 10:20:00,2018-01-02 17:30:00
