booking_id,booking_id_type,incident_number,incident_date_time,incident_facility_location,incident_location,infraction
20190226171,Non Sample Set BookingID,BV-2018-11597,2018-09-07 11:42:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20190226171,Non Sample Set BookingID,BV-2018-11597,2018-09-07 11:42:00,BRIDGEVIEW,COURTHOUSE,219 Disobeying or Resisting Orders
20180404123,Sample Set BookingID,BV-2018-12142,2018-09-19 11:17:00,BRIDGEVIEW,COURTHOUSE,207 Fighting
20180823047,Non Sample Set BookingID,BV-2018-12142,2018-09-19 11:17:00,BRIDGEVIEW,COURTHOUSE,207 Fighting
20180115001,Sample Set BookingID,BV-2018-13618,2018-10-25 12:15:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20180115001,Sample Set BookingID,BV-2018-13618,2018-10-25 12:15:00,BRIDGEVIEW,COURTHOUSE,106 Failure to Maintain Sanitary or Orderly Conditions
20180115001,Sample Set BookingID,BV-2018-13618,2018-10-25 12:15:00,BRIDGEVIEW,COURTHOUSE,114 Obstruction of Plumbing
20180115001,Sample Set BookingID,BV-2018-13618,2018-10-25 12:15:00,BRIDGEVIEW,COURTHOUSE,208 Flooding
20180115001,Sample Set BookingID,BV-2018-13618,2018-10-25 12:15:00,BRIDGEVIEW,COURTHOUSE,327 Damage to CCSO Property
20161020105,Non Sample Set BookingID,BV-2018-2897,2018-03-01 08:55:00,BRIDGEVIEW,COURTHOUSE,207 Fighting
20180120018,Sample Set BookingID,BV-2018-2897,2018-03-01 08:55:00,BRIDGEVIEW,COURTHOUSE,307 Battery
20180130113,Sample Set BookingID,BV-2018-2897,2018-03-01 08:55:00,BRIDGEVIEW,COURTHOUSE,307 Battery
20180115001,Sample Set BookingID,BV-2018-5331,2018-04-23 16:00:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20190226171,Non Sample Set BookingID,BV-2018-6048,2018-05-08 10:30:00,BRIDGEVIEW,COURTHOUSE,
20170815058,Non Sample Set BookingID,BV-2018-8191,2018-06-26 10:30:00,BRIDGEVIEW,COURTHOUSE,
20180216202,Sample Set BookingID,BV-2018-8198,2018-06-26 12:30:00,BRIDGEVIEW,COURTHOUSE,102 Disrupting a Judicial Proceeding
20180216202,Sample Set BookingID,BV-2018-8198,2018-06-26 12:30:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20180422036,Sample Set BookingID,BV-2018-9077,2018-07-16 12:15:00,BRIDGEVIEW,COURTHOUSE,208 Flooding
20170622001,Non Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20170622001,Non Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,106 Failure to Maintain Sanitary or Orderly Conditions
20170622001,Non Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,208 Flooding
20180115001,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20180115001,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,106 Failure to Maintain Sanitary or Orderly Conditions
