scenario,scenario_name,edge_case,mvpf,detainee_values,society_values,govt_cost,numerator,fel_rate,n_detainees_mult,los_days,crime_effect,det_Relative Harm Valuation (RHV),soc_Valuation of effects of detention on court appearance,soc_Incapacitation and deterrance crime effects of detention  ,gov_Total Funding for CCJ (2018),gov_Crime-related cost per crime types (F/M),det_WTP for Freedom,soc_Wrongful death damages Social cost of detainment (focusing on economic impact submeasure)
baseline,Baseline MVPF,Baseline (All Average),-20.708642762524274,-11594987590.930883,518063.3858195435,559885534.7742624,-11594469527.545063,0.7,1.0,70,0,-11594987590.930883,518063.3858195435,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,All Minimum Values,0.15159013656512466,-16564267.987044118,102762714.28258543,568628330.6335672,86198446.29554132,0.1,0.1,1,-4,-16564267.987044118,51806.33858195435,102710907.94400348,559885534.7742624,8742795.859304817,,
baseline,Baseline MVPF,All Maximum Values,-15.165884657144433,-120919156305.42206,-71042651931.49405,12657475154.04488,-191961808236.9161,1.0,2.0,365,14,-120919156305.42206,1036126.771639087,-71043688058.26569,559885534.7742624,12097589619.270617,,
baseline,Baseline MVPF,Min Felony Rate,-20.708642762524274,-11594987590.930883,518063.3858195435,559885534.7742624,-11594469527.545063,0.1,1.0,70,0,-11594987590.930883,518063.3858195435,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,Max Felony Rate,-20.708642762524274,-11594987590.930883,518063.3858195435,559885534.7742624,-11594469527.545063,1.0,1.0,70,0,-11594987590.930883,518063.3858195435,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,Min Detainee Population,-2.070864276252427,-1159498759.0930882,51806.33858195435,559885534.7742624,-1159446952.754506,0.7,0.1,70,0,-1159498759.0930882,51806.33858195435,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,Max Detainee Population,-41.41728552504855,-23189975181.861767,1036126.771639087,559885534.7742624,-23188939055.090126,0.7,2.0,70,0,-23189975181.861767,1036126.771639087,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,Min Length of Stay,-0.2949256700321744,-165642679.87044117,518063.3858195435,559885534.7742624,-165124616.4846216,0.7,1.0,1,0,-165642679.87044117,518063.3858195435,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,Max Length of Stay,-107.98467960723688,-60459578152.71103,518063.3858195435,559885534.7742624,-60459060089.32521,0.7,1.0,365,0,-60459578152.71103,518063.3858195435,0.0,559885534.7742624,0.0,,
baseline,Baseline MVPF,Min Crime Effect,-2.85663693611183,-11594987590.930883,7108953285.891134,1570390079.4427495,-4486034305.039749,0.7,1.0,70,-4,-11594987590.930883,518063.3858195435,7108435222.505315,559885534.7742624,1010504544.668487,,
