  row_var,parameter,effect_type,justification
  det_wtp_freedom,length_of_stay_mult,multiplicative,Longer detention increases WTP to avoid it
  det_wtp_freedom,detainee_pop_mult,multiplicative,More detainees scales the total WTP
  det_rel_harm,length_of_stay_mult,multiplicative,Longer stays increase cumulative harm
  det_rel_harm,detainee_pop_mult,multiplicative,Scales across population
gov_health,length_of_stay_mult,multiplicative,Longer detention worsens post-release outcomes
gov_health,recidivism_mult,multiplicative,Recidivism affects trajectory
  soc_crime_prevention,crime_weight_mult,multiplicative,Policy weight on crime prevention
  soc_crime_prevention,community_size_mult,multiplicative,Larger community affected
  soc_victimization,crime_weight_mult,multiplicative,Policy weight on victim costs
  soc_victimization,community_size_mult,multiplicative,More potential victims
  soc_spillovers,community_size_mult,multiplicative,More spillover in larger communities
  soc_spillovers,length_of_stay_mult,multiplicative,Longer detention increases disruption
  gov_operations,detainee_pop_mult,multiplicative,Ops costs scale with population
  gov_operations,length_of_stay_mult,multiplicative,Longer stays increase costs
soc_court,detainee_pop_mult,multiplicative,More processing needed
  gov_long_term,recidivism_mult,multiplicative,Recidivism drives long-term costs
