row_var,component,name,unit,sign ,source_dollar_year,selected_value,min,max
soc_court,society_values,Valuation of effects of detention on court appearance,dollars per detainee,positive,2020,12.6,,
soc_crime_prevention,society_values,Incapacitation and deterrance crime effects of detention  ,dollars per detainee,positive,2018,0,80,59900
soc_spillover,society_values,Wrongful death damages Social cost of detainment (focusing on economic impact submeasure),dollars per detainee,negative,2023,294728,100000,300000
soc_victimization,society_values,Acute Cost of crime - HAVEN framework (victims),dollar per victim,negative,2024,875000,10000,875000
det_wtp_freedom,detainee_values,WTP for Freedom,dollars per day,negative,2022,11,,
det_rel_harm,detainee_values,Relative Harm Valuation (RHV),dollars per day,negative,2021,4218,,295275.00
gov_health,govt_cost,Spike in Public Health Spending post-release,dollar per detainee,positive,2018,300,200,400
gov_operations,govt_cost,Total Funding for CCJ (2018),dollars per year,positive,2018,448677628,,
gov_crime_prevention,govt_cost,Crime-related cost per crime types (F/M),dollar per detainee,positive,2018,0,4600,10200
n_detainees,Weight,n Detainees,people,N/A,2018,33945,,
n_society,Weight,n Society,people,N/A,2018,5171000,,
fel_rate,Weight,Proportion of Felonies vs. Misdemeanors,%,N/A,N/A,0.7,0.5,1
los_days,Weight,Length of Stay (LoS),days,N/A,N/A,70,60,203
crime_effect,parameter,"Crime effect, inverted sign for social and government costs",%,N/A,N/A,"1,05","-1,04",1.14
