parameter,value,numeric_value,description
LoS,basic,60,Basic length of stay (days)
LoS,standard,70,Standard length of stay (days)
LoS,enhanced,203,Enhanced length of stay (days)
crime_weight,minimal,0.3,Minimal felony crimes rate
crime_weight,moderate,0.7,Average felony crimes rate
crime_weight,significant,0.9,Significantfelony crimes rate
n_det,below,2500,Below average number of detainees
n_det,average,3000,Average number of detainees
n_det,above,5000,Above average number of detainees
n_population,below,5000000,Below average population
n_population,average,5171000,Average population
n_population,above,5200000,Above average population
